number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,user_attrs_mean_fit_time,user_attrs_mean_score_time,user_attrs_mean_test_score,user_attrs_split0_test_score,user_attrs_split1_test_score,user_attrs_split2_test_score,user_attrs_split3_test_score,user_attrs_std_fit_time,user_attrs_std_score_time,user_attrs_std_test_score,state,key
25,-1.152933282547638,2023-04-25 17:11:12.640309,2023-04-25 17:11:18.309160,0 days 00:00:05.668851,0.0032537985961924986,28,77,11,0.0150169065006113,1.031204298609369e-07,1.3624369502067566,0.05003625154495239,-1.152933282547638,-1.15218698052082,-1.4238595374150869,-1.0944589483841956,-0.9412276638704491,0.03953996470465576,0.015049250639032145,0.17438471068199066,COMPLETE,1_0
26,-1.1545400783160926,2023-04-25 17:11:16.682064,2023-04-25 17:11:25.656210,0 days 00:00:08.974146,0.00381405538526125,27,82,21,0.02365382390162171,3.866850969324329e-06,2.1818074584007263,0.056091248989105225,-1.1545400783160926,-1.1385941839206515,-1.4418335226768535,-1.0667545854778555,-0.9709780211890101,0.10483381490010726,0.009152671601922393,0.176205218630379,COMPLETE,1_0
27,-1.162792638800383,2023-04-25 17:11:17.712407,2023-04-25 17:11:26.232045,0 days 00:00:08.519638,0.005331156895400816,26,72,21,0.0569604175214629,1.6660465006019781e-07,2.077155649662018,0.04663431644439697,-1.162792638800383,-1.160060825935261,-1.447431809081397,-1.0662606285859224,-0.9774172915989523,0.16150369337698514,0.006075215655726912,0.17657106813255802,COMPLETE,1_0
28,-1.1720080148264012,2023-04-25 17:11:18.310642,2023-04-25 17:11:24.909772,0 days 00:00:06.599130,0.007684418396927873,24,61,20,2.2529422916562397e-07,2.848516704967427e-06,1.604393184185028,0.039594054222106934,-1.1720080148264012,-1.1726113019046323,-1.4545194304145352,-1.070891019047399,-0.9900103079390388,0.1504511229667652,0.0039426099074327675,0.17547141935407828,COMPLETE,1_0
29,-1.1890602076223242,2023-04-25 17:11:24.592210,2023-04-25 17:11:35.745383,0 days 00:00:11.153173,0.006416379995750256,24,95,23,1.3098954067533445e-07,3.654995367157398e-06,2.726321041584015,0.05644863843917847,-1.1890602076223242,-1.1967552164306754,-1.4733092412168518,-1.068525274667061,-1.0176510981747093,0.14736466992351338,0.006384205519444077,0.17661149390975217,COMPLETE,1_0
30,-1.1578211980362259,2023-04-25 17:11:24.911344,2023-04-25 17:11:31.594841,0 days 00:00:06.683497,0.0019019455692006202,32,87,12,0.019496513129421713,3.0111582566643113e-06,1.6218270063400269,0.04404854774475098,-1.1578211980362259,-1.145540352129515,-1.4198458824967366,-1.1046213049479803,-0.9612772525706709,0.0704118263777993,0.005816839203977438,0.1660327569838121,COMPLETE,1_0
31,-1.5751539821478207,2023-04-25 17:11:25.657536,2023-04-25 17:11:32.201519,0 days 00:00:06.543983,0.9138489152977463,31,99,13,0.02158154837764691,2.707428993028399e-06,1.5720514059066772,0.05890190601348877,-1.5751539821478207,-1.6224195935235415,-1.7973232823738639,-1.4884970675973004,-1.392375985096576,0.05499538753695617,0.03100122051792366,0.15207765535009685,COMPLETE,1_0
32,-1.5368988325649773,2023-04-25 17:11:26.233449,2023-04-25 17:11:43.745522,0 days 00:00:17.512073,0.9512705581609213,31,191,25,0.6164848460525457,4.961445619214066e-06,4.25640344619751,0.11547064781188965,-1.5368988325649773,-1.5002019534819038,-1.6890688071020161,-1.5062768411131653,-1.4520477285628237,0.13801782611136829,0.017420286455406258,0.0903324115363637,COMPLETE,1_0
33,-1.328412936846939,2023-04-25 17:11:31.597359,2023-04-25 17:11:53.826873,0 days 00:00:22.229514,0.015310309198103052,31,186,25,0.44109266246811196,5.8812213343120285e-06,5.420737862586975,0.13059651851654053,-1.328412936846939,-1.3656690057382517,-1.5135838352188176,-1.1497591658909607,-1.284639740539726,0.3271174976359103,0.017248358806963814,0.13182330869844655,COMPLETE,1_0
34,-1.25508598251503,2023-04-25 17:11:32.202988,2023-04-25 17:11:47.968333,0 days 00:00:15.765345,0.009521736554887432,33,188,16,0.3634202988502515,4.343364380644186e-06,3.8197112679481506,0.1153305172920227,-1.25508598251503,-1.220161439316301,-1.4650431837759446,-1.114762787828629,-1.2203765191392457,0.12541838737723765,0.022040442174632094,0.12864398148940798,COMPLETE,1_0
35,-1.256018513728716,2023-04-25 17:11:35.746942,2023-04-25 17:11:45.651149,0 days 00:00:09.904207,0.015563189569971169,31,113,16,0.3683622893220674,3.7422423051452106e-06,2.407361388206482,0.06350386142730713,-1.256018513728716,-1.2253657834216685,-1.4665685843354401,-1.1170948805908256,-1.2150448065669308,0.06582598094309011,0.006416859367228111,0.12869493252512312,COMPLETE,1_0
36,-1.150252935639962,2023-04-25 17:11:43.749159,2023-04-25 17:11:56.693330,0 days 00:00:12.944171,0.0017070535899062211,31,178,11,0.004394489370189636,9.331981998619211e-06,3.1349287629127502,0.09430718421936035,-1.150252935639962,-1.153610894162705,-1.4243561702997805,-1.0876457237273054,-0.9353989543700577,0.11572784104920185,0.016124634243341696,0.17693625645089014,COMPLETE,1_0
37,-1.1444973056457535,2023-04-25 17:11:45.653151,2023-04-25 17:12:05.981901,0 days 00:00:20.328750,0.0017243557162918907,34,296,11,0.0063403090545342995,4.71127774041566e-07,4.923265516757965,0.15350300073623657,-1.1444973056457535,-1.1586450450831092,-1.413850169242902,-1.064320859008895,-0.9411731492481081,0.20378000869629442,0.029273076559257167,0.17358002392938143,COMPLETE,1_0
38,-1.1474286516602317,2023-04-25 17:11:47.969779,2023-04-25 17:12:08.890379,0 days 00:00:20.920600,0.001316392675784111,37,301,11,0.0091446493518912,0.06479054083596737,5.096977531909943,0.127097487449646,-1.1474286516602317,-1.154980132236234,-1.4224383482051524,-1.0772339658204844,-0.9350621603790559,0.20450320314453987,0.008896788900182463,0.17728097655405503,COMPLETE,1_0
39,-1.1749745323068774,2023-04-25 17:11:53.829234,2023-04-25 17:11:56.982470,0 days 00:00:03.153236,0.0018848093002307882,5,32,10,0.016518344759097817,0.00032098845282802223,0.7540362477302551,0.02779155969619751,-1.1749745323068774,-1.1493948416772481,-1.4318502319777693,-1.1294980850782677,-0.9891549704942243,0.029121354139976477,0.0013508806935452746,0.16065215720532725,COMPLETE,1_0
40,-1.2637608517052554,2023-04-25 17:11:56.695471,2023-04-25 17:12:13.600836,0 days 00:00:16.905365,0.036554527540905796,7,279,10,0.006823967307791698,0.00029753808389772543,4.078401803970337,0.14120739698410034,-1.2637608517052554,-1.2527435845593755,-1.4342251134912123,-1.1367049138570868,-1.231369794913347,0.19544775584756424,0.011878366614611521,0.10767060488379504,COMPLETE,1_0
41,-1.2391691194476544,2023-04-25 17:11:56.986832,2023-04-25 17:12:12.633372,0 days 00:00:15.646540,0.05570451343439714,36,286,9,0.004445413469420701,5.201687784700959e-07,3.760912835597992,0.14425575733184814,-1.2391691194476544,-1.2748984344966032,-1.427752259546353,-1.0844767860068076,-1.1695489977408533,0.12592236994349487,0.02709004709563168,0.1280789444592634,COMPLETE,1_0
42,-1.2604369021706725,2023-04-25 17:12:05.983611,2023-04-25 17:12:22.863879,0 days 00:00:16.880268,0.04632170599732716,36,311,9,0.003909090718836609,3.8315863909754123e-07,4.0803133845329285,0.13415378332138062,-1.2604369021706725,-1.230585986791719,-1.4203812403093736,-1.1303443553899162,-1.260436026191681,0.16140417659286696,0.00937429047672044,0.10416014014518607,COMPLETE,1_0
43,-1.2434818849525837,2023-04-25 17:12:08.893065,2023-04-25 17:12:26.530689,0 days 00:00:17.637624,0.041721201491320636,36,314,9,0.0030106655531114287,0.1636176721658393,4.259812533855438,0.14384502172470093,-1.2434818849525837,-1.259590049863977,-1.4311581827530702,-1.0825420600909257,-1.2006372471023616,0.2545031287762581,0.01547109101725219,0.1257170990278643,COMPLETE,1_0
44,-1.1365272254906067,2023-04-25 17:12:12.636126,2023-04-25 17:12:31.889804,0 days 00:00:19.253678,0.001639828720881107,40,294,10,0.003339818734974437,0.10688741573140335,4.6733521819114685,0.1338023543357849,-1.1365272254906067,-1.149551492663573,-1.4048263867372848,-1.064243622477725,-0.9274874000838449,0.10127962479192129,0.0202122268507868,0.17398034323715791,COMPLETE,1_0
45,-1.143800990047902,2023-04-25 17:12:13.602913,2023-04-25 17:12:36.009695,0 days 00:00:22.406782,0.0014691023787413843,41,322,11,0.001755218634845629,0.1604278467979553,5.450693607330322,0.14510983228683472,-1.143800990047902,-1.1528487387513076,-1.415212991450597,-1.068230047272452,-0.9389121827172519,0.17226882585748818,0.017153164974637237,0.17423886407986247,COMPLETE,1_0
46,-1.1477232191376179,2023-04-25 17:12:22.867048,2023-04-25 17:12:45.638828,0 days 00:00:22.771780,0.0013191883442802016,40,321,12,8.412005366211521e-05,0.07645112251398938,5.524859547615051,0.16199254989624023,-1.1477232191376179,-1.139901128826419,-1.42544321509785,-1.0813898515406186,-0.9441586810855834,0.25082777057783967,0.027680807001259307,0.175376892763902,COMPLETE,1_0
47,-1.2734405460419809,2023-04-25 17:12:26.532666,2023-04-25 17:12:50.466992,0 days 00:00:23.934326,0.01137672866604407,41,369,13,6.918008403862937e-05,1.3335278294166573e-05,5.761018693447113,0.21644121408462524,-1.2734405460419809,-1.285954894026199,-1.4374130574148438,-1.1524485461159861,-1.2179456866108944,1.0615241721617856,0.05698303580970277,0.10578555768719297,COMPLETE,1_0
48,-1.1310316506860565,2023-04-25 17:12:31.891465,2023-04-25 17:12:43.687400,0 days 00:00:11.795935,0.001265229084483294,42,282,5,0.00010086660204140805,0.09375839767928858,2.8541080951690674,0.08865314722061157,-1.1310316506860565,-1.0943919453935438,-1.3986868097365825,-1.0782998509312163,-0.952747996682883,0.0814767822899423,0.003895523565690592,0.16397214409800864,COMPLETE,1_0
49,-1.159737148605766,2023-04-25 17:12:36.011487,2023-04-25 17:12:55.289439,0 days 00:00:19.277952,0.001042230479566429,41,363,14,9.169102213703838e-05,0.0641458256119402,4.649712383747101,0.16316378116607666,-1.159737148605766,-1.1676957089005193,-1.4311570496706192,-1.0919492159006923,-0.9481466199512326,1.8442926080745659,0.03176856870763755,0.17542652095161698,COMPLETE,1_0
0,-2.2110571540154167,2023-04-25 17:12:58.277650,2023-04-25 17:13:02.642533,0 days 00:00:04.364883,2.1973593714702894e-05,13,472,27,95393.23754431814,0.17199097861177873,1.0724165439605713,0.017805099487304688,-2.2110571540154167,-2.215724113213906,-2.920247777840801,-2.018420988433855,-1.6898357365731052,0.20743246979272625,0.007680415875893799,0.4504868421276412,COMPLETE,1_3
1,-2.212462479464853,2023-04-25 17:12:58.279663,2023-04-25 17:12:58.812813,0 days 00:00:00.533150,3.655561496990226e-05,17,23,44,7477681.917773894,6108609.5475227535,0.12733501195907593,0.005162179470062256,-2.212462479464853,-2.217459915102135,-2.920247777840801,-2.017254701428145,-1.6948875234883316,0.03678280067578141,0.0008836582255693685,0.4491589124742504,COMPLETE,1_3
2,-2.2123493952620867,2023-04-25 17:12:58.280625,2023-04-25 17:13:02.086273,0 days 00:00:03.805648,1.0098979581804628e-06,2,235,35,0.7311248926351489,0.0002144081646381566,0.9337736964225769,0.016882002353668213,-2.2123493952620867,-2.217555653355329,-2.9200594075093838,-2.017193790791901,-1.6945887293917323,0.23513469504903314,0.0008077595840302849,0.4491776885701913,COMPLETE,1_3
3,-2.6715775120320444,2023-04-25 17:12:58.281613,2023-04-25 17:13:10.683364,0 days 00:00:12.401751,0.8728099044527212,41,144,37,0.026942251670683363,6.128681705981775e-07,3.0815210938453674,0.01761603355407715,-2.6715775120320444,-3.5706700378905687,-2.6080150862260703,-2.3769589407825586,-2.1306659832289787,0.08600196870918622,0.0013996021583620511,0.5458463466366151,COMPLETE,1_3
4,-2.212430125372687,2023-04-25 17:12:58.902887,2023-04-25 17:13:13.863727,0 days 00:00:14.960840,2.486755746604994e-07,13,220,25,1.555590810043467e-07,0.0010657529232094432,3.7071257829666138,0.03196650743484497,-2.212430125372687,-2.2174704619105357,-2.920209921949859,-2.0172396426084305,-1.6948004750219217,0.06821951332111692,0.008530574696021257,0.44917074284709285,COMPLETE,1_3
